StartSession,15:20:57.2665984
(325, 168),15:29:02.2639232
(326, 168),15:29:02.4409728
(327, 168),15:29:02.6038272
(327, 169),15:29:07.2510720
(327, 170),15:29:07.4200448
(327, 171),15:29:07.6110720
(327, 172),15:29:07.7411712
(327, 173),15:29:07.8970880
(327, 174),15:29:08.0710528
(327, 175),15:29:08.2271744
(327, 176),15:29:08.4151168
(327, 177),15:29:08.5771648
(327, 178),15:29:08.7622144
(327, 179),15:29:08.9311616
(328, 179),15:29:15.4654464
(329, 179),15:29:15.6064768
(330, 179),15:29:15.8144640
(331, 179),15:29:16.4434688
(332, 179),15:29:17.2095232
(333, 179),15:29:17.2445184
(334, 179),15:29:17.4405376
(335, 179),15:29:17.6445440
(336, 179),15:29:17.7565440
(337, 179),15:29:18.1693952
(337, 180),15:29:23.2966784
(337, 181),15:29:23.5428352
(337, 182),15:29:23.7467008
(338, 182),15:29:24.3008384
(338, 183),15:29:29.8279168
(338, 184),15:29:30.0410496
(338, 185),15:29:30.2593152
(338, 186),15:29:30.4840448
(339, 186),15:29:30.7129856
(340, 186),15:29:30.9221120
(341, 186),15:29:35.4391168
(342, 186),15:29:35.6233216
(343, 186),15:29:36.2762752
(344, 186),15:29:36.4601856
(345, 186),15:29:36.6371840
(346, 186),15:29:36.8102656
(347, 186),15:29:36.9783424
(348, 186),15:29:39.6382976
(349, 186),15:29:39.8144256
(350, 186),15:29:39.9884160
(351, 186),15:29:40.1713280
(352, 186),15:29:40.3533568
(353, 186),15:29:40.5294720
(354, 186),15:29:40.6935168
(354, 187),15:29:46.1155584
(354, 188),15:29:46.2885504
(354, 189),15:29:46.4745984
(354, 190),15:29:46.6296448
(354, 191),15:29:46.7847040
(354, 192),15:29:46.9477632
(354, 193),15:29:47.1097088
(354, 194),15:29:47.2896896
(355, 194),15:29:53.9709056
(356, 194),15:29:54.1378944
(357, 194),15:29:54.3070592
(358, 194),15:29:54.4800384
(359, 194),15:29:54.6310656
(360, 194),15:29:54.7809920
(361, 194),15:29:55.0839936
(362, 194),15:29:55.2539648
(363, 194),15:29:55.4270720
(363, 195),15:29:59.6082048
(363, 196),15:29:59.7732352
(363, 197),15:29:59.9351552
(363, 198),15:30:00.1181440
(363, 199),15:30:00.2721408
(363, 200),15:30:00.4461440
(363, 201),15:30:00.6091520
(363, 202),15:30:00.7863552
(363, 203),15:30:00.9622400
(363, 204),15:30:01.1612800
(363, 205),15:30:01.3342208
(363, 206),15:30:10.1606400
(364, 206),15:30:10.8476672
(364, 207),15:30:11.6815872
(364, 208),15:30:11.8917504
(364, 209),15:30:12.0827520
(364, 210),15:30:12.2436480
(364, 211),15:30:12.4137472
(364, 212),15:30:12.5436544
(364, 213),15:30:12.7216512
(364, 214),15:30:12.8816512
(365, 214),15:30:18.7258752
(366, 214),15:30:18.8789376
(367, 214),15:30:19.0540160
(368, 214),15:30:19.2206080
